Redump Name,Domestic Title,Overseas Title,Product No.,Build Date,Hardware,Company,Disc Type,Version,I/O Devices,Region,Size
Mortal Kombat Kanzenban (Japan),MORTAL KOMBAT,MORTAL KOMBAT,T-81025,1994.MAY,SEGA GENESIS,(C)T-81,GM,0,J6L,J,37516752
My Paint (USA),MYPAINT SEGA CD,MYPAINT MEGA CD,T-109015,1994.MH,SEGA MEGA DRIVE,(C)T-109,AI,0,"J,M",U,44685648
NBA Jam (Europe),NBAJAM          RAM,NBAJAM          RAM,T-81035,1994.SEP,SEGA MEGA DRIVE,(C)T-81,GM,0,J4,E,51240672
NBA Jam (Japan),NBAJAM          RAM,NBAJAM          RAM,T-81035,1994.SEP,SEGA MEGA DRIVE,(C)T-81,GM,0,J4,J,51292416
NBA Jam (USA),NBAJAM          RAM,NBAJAM          RAM,T-81035,1994.SEP,SEGA GENESIS,(C)T-81,GM,0,J,U,51240672
NFL Football Trivia Challenge (USA),NFL TRIVIA CHALLENGE,NFL TRIVIA CHALLENGE,T-135015,1994.NOV,SEGA GENESIS,(C)T-13,GM,0,J,U,583655856
NFL's Greatest - San Francisco vs. Dallas 1978-1993 (USA),N.F.L.'S GREATEST SAN FRANCISC,N.F.L.'S GREATEST SAN FRANCISC,MK-4202,1993.DEC,SEGA GENESIS,(C)SEGA,GM,0,J,U,627755856
NHL '94 (USA),NHL HOCKEY 94,NHL HOCKEY 94,T-50015,1993.NOV,SEGA GENESIS,(C)T-50,GM,0,J,U,209363280
NHL Hockey '94 (Europe),NHL HOCKEY 94,NHL HOCKEY 94,T-50015,1993.NOV,SEGA MEGADRIVE,(C)T-50,GM,0,J,E,209363280
"Night Striker (Japan, Korea)",NIGHT STRIKER,NIGHT STRIKER,T-11014,1993.MAY,SEGA MEGA DRIVE,(C)T-11,GM,0,JAC,J,15605520
Night Trap (Europe) (Disc 1),(unknown),NIGHT TRAP,MK-4903,1993.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,615939408
Night Trap (Europe) (Disc 1) (Mega-CD 32X),NIGHT TRAP,DISK1,T-16202F,1995.JAN,SEGA 32X,(C)T-162,GM,50,J,E,617058960
Night Trap (Europe) (Disc 2),(unknown),NIGHT TRAP,MK-4903,1993.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,514650528
Night Trap (Europe) (Disc 2) (Mega-CD 32X),NIGHT TRAP,DISK2,T-16202F,1995.JAN,SEGA 32X,(C)T-162,GM,50,J,E,515276160
Night Trap (France) (Disc 1),NIGHT TRAP,DISK1,MK-4903,1994.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,615753600
Night Trap (France) (Disc 2),NIGHT TRAP,DISK2,MK-4903,1994.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,514464720
Night Trap (Japan) (Disc 1),NIGHT TRAP,DISK1,G-6025,1993.OCT,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,615875904
Night Trap (Japan) (Disc 2),NIGHT TRAP,DISK2,G-6025,1993.OCT,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,514587024
Night Trap (USA) (Disc 1) (Rerelease),NIGHT TRAP,DISK1,T-162105,1994.DEC,SEGA GENESIS,(C)T-162,GM,0,J,U,617058960
Night Trap (USA) (Disc 1) (Rerelease) (Alt),NIGHT TRAP,DISK1,T-162105,1994.DEC,SEGA GENESIS,(C)T-162,GM,0,J,U,617058960
Night Trap (USA) (Disc 1) (Sega CD 32X) (RE-1),NIGHT TRAP,DISK1,T-16202F,1994.DEC,SEGA 32X,(C)T-162,GM,0,J,U,617061312
Night Trap (USA) (Disc 2) (Rerelease),NIGHT TRAP,DISK2,T-162105,1994.DEC,SEGA GENESIS,(C)T-162,GM,0,J,U,515276160
Night Trap (USA) (Disc 2) (Rerelease) (Alt),NIGHT TRAP,DISK2,T-162105,1994.DEC,SEGA GENESIS,(C)T-162,GM,0,J,U,515276160
Night Trap (USA) (Disc 2) (Sega CD 32X) (RE-1),NIGHT TRAP,DISK2,T-16202F,1994.DEC,SEGA 32X,(C)T-162,GM,0,J,U,515278512
"Ninja Warriors, The (Japan)",THE NINJA WARRIORS,THE NINJA WARRIORS,T-11024,1993.MAR,SEGA MEGA DRIVE,(C)T-11,GM,0,JC,J,14253120
Nobunaga no Yabou - Haouden (Japan),信長の野望・覇王伝ECTION,ECTION,T-76024,1994.FEB,SEGA MEGA DRIVE,(C)T-76,GM,0,JM,J,10101840
Nostalgia 1907 - In North Atlantic Sea (Japan),NOSTALGIA 1907 BY TAKERU,NOSTALGIA 1907 BY TAKERU,0,1991.NOV,SEGA MEGA DRIVE,(C)SEGA,XX,0,J,J,192649968
Note! Color Mechanica (USA) (Unl),NOTE! / BATSLY ADAMS - COLOR M,NOTE! / BATSLY ADAMS - COLOR M,T-00012,2013.JAN,SEGA GENESIS,(C)T-BA,GM,0,J,U,218914752
Note! Color Mechanica (USA) (Unl) (Alt),NOTE! / BATSLY ADAMS - COLOR M,NOTE! / BATSLY ADAMS - COLOR M,T-00012,2013.JAN,SEGA GENESIS,(C)T-BA,GM,0,J,U,218561952
Novastorm (Europe),NOVASTORM,NOVASTORM,T-113065,1994.NOV,SEGA MEGA DRIVE,(C)T-113,GM,0,J,E,418559568
Novastorm (USA),NOVASTORM,NOVASTORM,T-113025,1994.NOV,SEGA GENESIS,(C)T-113,GM,0,J,U,418559568
Panic! (USA) (RE),SWITCH,PANIC!,T-13015,1994.SEP,SEGA GENESIS,(C)T-13,GM,0,J6M,U,254387616
Pier Solar and the Great Architects - The Definitive Original Soundtrack (Europe) (Disc 4) (Enhanced Soundtrack Disc),PIERSOLAR& THE GREAT ARCHITEC,PIERSOLAR& THE GREAT ARCHITEC,T-5740??,2010.AUG,SEGA MEGA DRIVE,(c)T574,GM,1,J,J,755754048
Pier Solar and the Great Architects Enhanced Soundtrack Disc (USA),PIERSOLAR& THE GREAT ARCHITEC,PIERSOLAR& THE GREAT ARCHITEC,T-5740??,2010.AUG,SEGA MEGA DRIVE,(c)T574,GM,1,J,J,511769328
Pitfall - The Mayan Adventure (Europe),PITFALL,PITFALL,T-130025,1994.NOV,SEGA MEGA DRIVE,(C)T130,GM,50,J6,E,26104848
Pitfall - The Mayan Adventure (USA),PITFALL,PITFALL,T-130025,1994.NOV,SEGA GENESIS,(C)T130,GM,0,J6,U,26104848
Popful Mail (USA) (RE),Popful MAIL,Popful MAIL,T-127035,95.JAN,SEGA GENESIS,T-127 19,GM,0,J,U,421130304
PopfulMail (Japan),Popful MAIL,Popful MAIL,G-6029,1994.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,349281408
Power Factory (Europe),MAKE MY VIDEO -- C & C MUSIC F,MAKE MY VIDEO -- C & C MUSIC F,MK-4901,1993.JUN,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,429978528
Power Monger (USA),POWERMONGER,POWERMONGER,T-50035,1994.JUN,SEGA GENESIS,(C)T-50,GM,0,J,U,387771888
PowerMonger (Europe),POWERMONGER,POWERMONGER,T-50035,1994.JUN,SEGA MEGA DRIVE,(C)T-50,GM,0,J,E,387948288
Prince of Persia (Europe),Prince of Persia,Prince of Persia,MK-4652-,1992.Aug,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,2641296
Prince of Persia (Japan),Prince of Pelsia,Prince of Pelsia,T-60014,1992.Aug,SEGA MEGA DRIVE,(C)VICT,GM,(unknown),J,J,7933296
Prince of Persia (USA),Prince of Persia,Prince of Persia,MK-4652-,1992.Aug,SEGA GENESIS,(C)SEGA,GM,0,J,J,2641296
Prize Fighter (Europe) (Disc 1),Prize Fighter,Prize Fighter,MK-4206,1993.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,0,J6,E,410539248
Prize Fighter (Europe) (Disc 2),Prize Fighter,Prize Fighter,MK-4206,1993.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,0,J6,E,481202736
Prize Fighter (Japan) (Disc 1),Prize Fighter,Prize Fighter,G-6037,1994.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,0,J6,J,398005440
Prize Fighter (Japan) (Disc 2),Prize Fighter,Prize Fighter,G-6037,1994.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,0,J6,J,468791232
Prize Fighter (USA) (Disc 1),Prize Fighter,Prize Fighter,MK-4206,1993.NOV,SEGA GENESIS,(C)SEGA,GM,0,J6,U,410527488
Prize Fighter (USA) (Disc 1) (Alt),Prize Fighter,Prize Fighter,MK-4206,1993.NOV,SEGA GENESIS,(C)SEGA,GM,0,J6,U,410527488
Prize Fighter (USA) (Disc 2),Prize Fighter,Prize Fighter,MK-4206,1993.NOV,SEGA GENESIS,(C)SEGA,GM,0,J6,U,471286704
Pro Yakyuu Super League CD (Japan),PUROYAKYUU      SUPER-LEAGUE C,PUROYAKYUU      SUPER-LEAGUE C,G-6010-0,1992.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,(unknown),J,J,51685200
Psychic Detective Series Vol. 3 - Aya (Japan),AYA PSYCHIC DETECTIVE SERIES V,AYA PSYCHIC DETECTIVE SERIES V,T-84024,1992.SEP,SEGA MEGA DRIVE,(C)T-84,GM,0,J,J,37479120
Psychic Detective Series Vol. 4 - Orgel (Japan),ORGEL PSYCHIC DETECTIVE SERIES,ORGEL PSYCHIC DETECTIVE SERIES,T-84034,1993.SEP,SEGA MEGA DRIVE,(C)T-84,GM,0,J,J,160916784
Psygnosis Christmas Sampler (Europe),PUGGSY CD,PUGGSY CD,T-99999,1993.NOV,SEGA MEGA DRIVE,(C)T-999,GM,-,J,E,94324608
Psygnosis Christmas Sampler (Europe) (Alt),PUGGSY CD,PUGGSY CD,T-99999,1993.NOV,SEGA MEGA DRIVE,(C)T-999,GM,-,J,E,94324608
Puggsy (Europe),PUGGSY CD,PUGGSY CD,T-11303,1993.SEP,SEGA MEGA DRIVE,(C)T-113,GM,-,J,E,104565216
Puggsy (USA),PUGGSY CD,PUGGSY CD,T-11303,1993.SEP,SEGA GENESIS,(C)T-113,GM,-,J,U,104388816
Quiz Scramble Special (Japan) (Rev B),QUIZ SCRAMBLE SPECIAL,(unknown),T-06003,1992.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,28261632
Quiz Tonosama no Yabou (Japan),CAPCOM NO QUIZ   TONOSAMA NO,(unknown),44024,1992.SEP,SEGA MEGA DRIVE,(C)SIMS,GM,0,J,J,498555792
Racing Aces (USA),Racing Aces,Racing Aces,MK-4607,1993.NOV,SEGA GENESIS,(C)SEGA,GM,0,J6,U,14939904
Radical Rex (USA),RADICAL REX,RADICAL REX,T-130035,1994.NOV,SEGA GENESIS,(C)T130,GM,1,J,U,10925040
Ranma 1-2 - Byakuranaika (Japan),MEGA-CD RANMA1/2,MEGA-CD RANMA1/2,T-25014,1992.EPI,SEGA MEGA DRIVE,T-25,GM,0,J,J,49519008
RDF - Global Conflict (USA),RDF:GLOBAL CONFLICT,RDF:GLOBAL CONFLICT,T-86025,1995.JAN,SEGA GENESIS,(C)T-86,GM,0,J,U,256711392
Record of Lodoss War (Japan),ロードス島戦記,RECORD OF LODOSS WAR,G-6024 -,1994.MAY,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,190392048
Revenge of the Ninja (USA),NINJA HAYATE,REVENGE OF THE  NINJA,T-49035-,1994.JAN,SEGA GENESIS,(C)T-49,GM,0,J,U,325801392
Revengers of Vengeance (USA),BATTLE FANTASY,REVENGERS OF VENGEANCE,T-22035-,1994.SEP,SEGA GENESIS,(C)T-22,GM,0,J,U,20659968
Rise of the Dragon - A Blade Hunter Mystery (Japan),RISE OF THE DRAGON,RISE OF THE DRAGON,G-6002-0,1992.JUL,SEGA MEGA DRIVE,(C)SEGA,GM,(unknown),JM,J,178145184
Rise of the Dragon (USA),RISE OF THE DRAGON,RISE OF THE DRAGON,MK-4301-,1993.MAR,SEGA GENESIS,(C)SEGA,GM,0,JM,U,128993088
Rise of the Dragon (USA) (Rerelease) (RE),RISE OF THE DRAGON,RISE OF THE DRAGON,T-110035,1994.MAR,SEGA GENESIS,(C)SEGA,GM,0,JM,U,129028368
Road Avenger (Europe),ROAD BLASTER FX,ROAD AVENGER,4603-50,1993.FEB,SEGA MEGA DRIVE,(C)T-32,MK,(unknown),J,JUE,317816352
Road Avenger (USA),ROAD AVENGER,ROAD BLASTER FX,T-6207 -,1993.FEB,SEGA GENESIS,(C)T-32,GM,0,J,JU,317816352
Road Blaster FX (Japan),ROAD BRASTER FX,ROAD BRASTER FX,T-32124,1992.DEC,SEGA MEGA DRIVE,(C)T-32,GM,1,J,J,317806944
Road Rash (USA),ROAD RASH,ROAD RASH,T-50085,95.MAR,SEGA GENESIS,(C)EA 19,GM,(unknown),J,U,624799392
Robo Aleste (Europe),電忍アレスタ,ROBO ALESTE,MK-4416,1993.MAR,SEGA MEGA DRIVE,(C)T-66,GM,0,J,E,14930496
Robo Aleste (USA),電忍アレスタ,ROBO ALESTE,T-48015,1993.MAR,SEGA MEGA DRIVE,(C)T-66,GM,0,J,U,14932848
Samurai Shodown (Europe),Samurai Shodown,Samurai Shodown,T-60175,1995.JUN,SEGA MEGA DRIVE,(C)T-60,GM,50,J6,E,15530256
Samurai Shodown (USA) (RE),Samurai Shodown,Samurai Shodown,T-60175,1995.JUN,SEGA GENESIS,(C)T-60,GM,0,J6,U,15527904
"San Diego Zoo Presents... The Animals!, The (Europe)",THE ANIMALS (SOFTWARE TOOLWORK,THE ANIMALS (SOFTWARE TOOLWORK,T-158015,1994.JUN,SEGA MEGA DRIVE,(C)T-158,GM,0,J,E,695867424
"San Diego Zoo Presents... The Animals!, The (USA)",THE ANIMALS (SOFTWARE TOOLWORK,THE ANIMALS (SOFTWARE TOOLWORK,T-87015,1994.APR,SEGA GENESIS,(C)T-87,GM,0,J,U,695686320
Sangokushi III (Japan),三國志Ⅲ        ECTION,ECTION,T-76014,1993.FEB,SEGA MEGA DRIVE,(C)T-76,GM,0,J,J,11160240
"Secret of Monkey Island, The (Japan)",MONKEY ISLAND,MONKEY ISLAND,T-60044,1993.8,SEGA MEGA DRIVE,(C)T-60,GM,0,JCBM,J,18355008
"Secret of Monkey Island, The (USA) (Limited Run Games)",MONKEY ISLAND,MONKEY ISLAND,T-60035,1993.8,SEGA GENESIS,(C)T-60,GM,0,JCBM,U,13063008
"Secret of Monkey Island, The (USA) (RE)",MONKEY ISLAND,MONKEY ISLAND,T-60035,1993.8,SEGA GENESIS,(C)T-60,GM,0,JCBM,U,13063008
Sega CD Demo (Japan) (Proto) (1992-05-29),DOMESTIC TITLE,OVERSEAS TITLE,T-32024,1991.DEC,SEGA MEGA DRIVE,(C)T-32,GM,1,J,J,36658272
Sega Classic Arcade Collection - Limited Edition (Japan),SEGA CLASSIC,SEGA CLASSIC,G-6012-,1992.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J     10/09-1992,25149936
Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A),SEGA CLASSIC,SEGA CLASSIC,G-6012-,1992.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,1,J,E     12/09-1992,25893168
Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A) (Alt),SEGA CLASSIC,SEGA CLASSIC,G-6012-,1992.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,1,J,E     12/09-1992,25893168
Sega Classics Arcade Collection (USA) (4-in-1) (RE),SEGA CLASSIC,SEGA CLASSIC,G-6012-,1992.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,U     10/09-1992,25149936
Sega Classics Arcade Collection (USA) (4-in-1) (RE2),SEGA CLASSIC,SEGA CLASSIC,G-6012-,1992.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,1,J,U     12/09-1992,25893168
Sega Classics Arcade Collection (USA) (5-in-1),SEGA CLASSIC,SEGA CLASSIC,G-6012-,1992.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,1,J,U     12/09-1992,25893168
"Seima Densetsu 3x3 Eyes (Japan, Korea)",SEGA 3X3EYES,SEGA 3X3EYES,G-6007-,1993.JUN,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,310675680
Seirei Shinseiki - Fhey Area (Japan),精霊神世紀フェイエリア,FHEYAREA,T-32034,1992.JAN,SEGA MEGA DRIVE,(C)T-32,GM,1,J,J,16285248
Sengoku Denshou (Japan),戦国伝承,SENGOKU,T-24034,1993.DEC,SEGA MEGA DRIVE,(C)T-24,GM,0,J,J,14994000
"Sensible Soccer (Europe) (En,Fr,De,It)",SENSIBLE SOCCER,SENSIBLE SOCCER,T-93185-,1994.JUN,SEGA MEGA-CD,(C)T-93,GM,0,J,E,27048000
Sewer Shark (Europe),SEWER SHARK,SEWER SHARK,T-06201,1993.JUL,SEGA GENESIS,(C)SEGA,GM,0,J,E,487536672
Sewer Shark (USA) (Not for Resale),SEWER SHARK,SEWER SHARK,T-06201,1993.JUN,SEGA GENESIS,(C)SEGA,GM,3,J,U,487360272
Sewer Shark (USA) (Not for Resale) (Alt 1),SEWER SHARK,SEWER SHARK,T-06201,1993.JUN,SEGA GENESIS,(C)SEGA,GM,3,J,U,487360272
Sewer Shark (USA) (Not for Resale) (Alt 2),SEWER SHARK,SEWER SHARK,T-06201,1993.JUN,SEGA GENESIS,(C)SEGA,GM,3,J,U,487360272
Shadow of the Beast II - Juushin no Jubaku (Japan),SHADOW OF THE BEAST TWO,SHADOW OF THE BEAST TWO,T-60034,1994.JUL,SEGA MEGA DRIVE,(C)T-60,GM,0,J,J,29976240
Shadow of the Beast II (USA),SHADOW OF THE BEAST TWO,SHADOW OF THE BEAST TWO,T-113045,1994.AUG,SEGA GENESIS,(C)T-113,GM,1,J,U,24051552
Shadowrun (Japan),SHADOWRUN,(unknown),T-66024,1993.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,0,JM,J,218696016
Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 1),SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,MK-4653,1993.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,529374048
Sherlock Holmes - Consulting Detective - Vol. II (Europe) (Disc 2),SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,MK-4653,1993.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,326208288
Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 1),SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,MK-4653,1993.APR,SEGA GENESIS,(C)SEGA,GM,0,J,U,529374048
Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 2),SHERLOCK HOLMES Consulting Det,SHERLOCK HOLMES Consulting Det,MK-4653,1993.APR,SEGA GENESIS,(C)SEGA,GM,0,J,U,326208288
Sherlock Holmes - Consulting Detective (USA),SherlockHolmes01,SherlockHolmes01,T-4501,1992.OCT,SEGA MEGA DRIVE,(C)ICOM,GM,-,J,J,750673728
Shin Megami Tensei (Japan),SIN MEGAMI        TENSEI,(unknown),T-044044,1994.JAN,SEGA MEGA DRIVE,(C)SIMS,GM,0,JM6,J,68633712
Shining Force CD (Europe),SHINING FORCE CD,SHINING FORCE CD,MK-4656,1995.FEB,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,68664288
Shining Force CD (Japan),SHINING FORCE CD,SHINING FORCE CD,G-6036,1994.JUL,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,68664288
Shining Force CD (USA) (3R),SHINING FORCE CD,SHINING FORCE CD,MK-4656,1995.FEB,SEGA GENESIS,(C)SEGA,GM,0,J,U,68666640
"Shining Force CD (USA) (5R, 6R)",SHINING FORCE CD,SHINING FORCE CD,MK-4656,1995.FEB,SEGA GENESIS,(C)SEGA,GM,0,J,U,68666640
Silpheed (Europe),SILPHEED,SILPHEED,MK-4423-,1993.OCT,SEGA MEGA DRIVE,(C)T-45,GM,0,J,E,362417328
Silpheed (Japan),ＳＩＬＰＨＥＥＤ,(unknown),T-45054,1993.JUN,SEGA MEGA DRIVE,(C)T-45,GM,0,J,J,369174624
Silpheed (USA),ＳＩＬＰＨＥＥＤ,SILPHEED,MK-4419-,1993.AUG,SEGA GENESIS,(C)T-45,GM,0,J,U,369233424
SimEarth (Japan),SIM EARTH,SIM EARTH,G-6008,1993.JAN,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,8768256
Sing!! Sega Game Music Presented by B. B. Queens (Japan),QUIZ SCRAMBLE SPECIAL,(unknown),T-60064,1992.FEB,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,1444128
Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1995.FEB,SEGA GENESIS,(C)T-162,GM,50,J,8,587068608
Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers) (Mega-CD 32X),Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-16204F,1995.FEB,SEGA 32X,(C)T-162,GM,50,J,8,607693296
